Year,State ,ACPR_code,ACPR_name,REMOTENESS,MMM_code,Program_type,Organisation_type,Service_size,Operational_places
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Private ,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Private ,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Private ,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Private ,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Private ,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Private ,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Private ,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Private ,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Private ,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Private ,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Private ,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Private ,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Private ,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Private ,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Private ,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Private ,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Private ,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Home care,Not-for-profit,-,-
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Private ,61–80,78
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,61–80,71
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,81–100,100
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Private ,41–60,60
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,81–100,96
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Private ,81–100,85
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Private ,101+,102
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Private ,101+,162
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Private ,101+,121
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Private ,101+,160
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Private ,21–40,23
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,21–40,35
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,41–60,43
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Private ,41–60,53
2021,NSW,101,Central Coast,Major Cities of Australia,1,Short-term restorative care,Private ,1–20,20
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Private ,101+,122
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,81–100,95
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,61–80,80
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,61–80,76
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Private ,101+,101
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,61–80,69
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,21–40,32
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,101+,106
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,21–40,39
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,101+,314
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,61–80,65
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,101+,140
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,61–80,80
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,61–80,74
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Private ,101+,250
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,41–60,60
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,81–100,84
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,101+,128
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Private ,101+,121
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,101+,148
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,61–80,66
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Private ,101+,140
2021,NSW,101,Central Coast,Major Cities of Australia,1,Transition care,Government,101+,119
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Not-for-profit,21–40,40
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Private ,101+,120
2021,NSW,101,Central Coast,Major Cities of Australia,1,Residential care,Private ,101+,150
2021,NSW,102,Central West,Inner Regional Australia,4,Home care,Not-for-profit,-,-
2021,NSW,102,Central West,Inner Regional Australia,3,Home care,Not-for-profit,-,-
2021,NSW,102,Central West,Inner Regional Australia,3,Home care,Private ,-,-
2021,NSW,102,Central West,Inner Regional Australia,3,Home care,Not-for-profit,-,-
2021,NSW,102,Central West,Inner Regional Australia,3,Home care,Not-for-profit,-,-
2021,NSW,102,Central West,Outer Regional Australia,4,Home care,Private ,-,-
2021,NSW,102,Central West,Inner Regional Australia,4,Home care,Not-for-profit,-,-
2021,NSW,102,Central West,Inner Regional Australia,3,Home care,Not-for-profit,-,-
2021,NSW,102,Central West,Inner Regional Australia,3,Home care,Not-for-profit,-,-
2021,NSW,102,Central West,Inner Regional Australia,3,Home care,Not-for-profit,-,-
2021,NSW,102,Central West,Inner Regional Australia,3,Home care,Not-for-profit,-,-
2021,NSW,102,Central West,Inner Regional Australia,4,Home care,Private ,-,-
2021,NSW,102,Central West,Outer Regional Australia,5,Home care,Private ,-,-
2021,NSW,102,Central West,Outer Regional Australia,4,Home care,Not-for-profit,-,-
2021,NSW,102,Central West,Outer Regional Australia,4,Home care,Not-for-profit,-,-
2021,NSW,102,Central West,Inner Regional Australia,3,Home care,Not-for-profit,-,-
2021,NSW,102,Central West,Inner Regional Australia,3,Home care,Not-for-profit,-,-
2021,NSW,102,Central West,Inner Regional Australia,3,Home care,Not-for-profit,-,-
2021,NSW,102,Central West,Inner Regional Australia,3,Home care,Not-for-profit,-,-
2021,NSW,102,Central West,Outer Regional Australia,4,Home care,Not-for-profit,-,-
2021,NSW,102,Central West,Inner Regional Australia,3,Home care,Not-for-profit,-,-
2021,NSW,102,Central West,Inner Regional Australia,3,Home care,Not-for-profit,-,-
2021,NSW,102,Central West,Outer Regional Australia,5,Residential care,Not-for-profit,21–40,37
